"PT_NUMBER","PLANT","SRC_UNIT","NUCLIDE","ACTIVITY","ACT_UNITS","Max0Avg1Sum2","NUCTYPEIMPTYPE","SOURCE","STARTDATE","ENDDATE","DURATION_MIN","FLOW_RATE","FLOW_UNITS","REL_VOL","REL_UNITS","RELEASE_SOURCE","DISCHARGE_POINT","REL_MODE_OR_DIL","IS_MDA","BATCHORCONT","ALLOCATION_PERCENT"
2016190,"Byron","Unit 2","H-3","4.57E-08","uCi/cc","NA","","",5/11/2016 15:37:00,5/13/2016 15:17:00,2860.00,"4.00E+03","cfm","1.14E+07","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016191,"Byron","Unit 1","C-14","2.34E-09","uCi/cc","NA","","",5/9/2016 0:24:00,5/16/2016 1:05:00,10121.00,"1.28E+05","cfm","1.30E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016191,"Byron","Unit 1","H-3","4.92E-09","uCi/cc","NA","","",5/9/2016 0:24:00,5/16/2016 1:05:00,10121.00,"1.28E+05","cfm","1.30E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016192,"Byron","Unit 2","H-3","1.46E-08","uCi/cc","NA","","",5/9/2016 0:28:00,5/16/2016 1:08:00,10120.00,"1.29E+05","cfm","1.31E+09","cf","Unit 2 Stack","Unit 2 Stack","ground","","C",100
2016193,"Byron","Unit 1","H-3","0.00E+00","uCi/cc","NA","","",5/18/2016 23:16:00,5/19/2016 1:52:00,156.00,"3.03E+00","cfm","4.73E+02","cf","Waste Gas Decay Tank (A-F)","Waste Gas Decay Tank (A-F)","ground","","B",100
2016193,"Byron","Unit 1","XE-133","1.26E-05","uCi/cc","NA","","",5/18/2016 23:16:00,5/19/2016 1:52:00,156.00,"3.03E+00","cfm","4.73E+02","cf","Waste Gas Decay Tank (A-F)","Waste Gas Decay Tank (A-F)","ground","","B",100
2016194,"Byron","Unit 2","H-3","7.55E-08","uCi/cc","NA","","",5/20/2016 20:26:00,5/20/2016 21:30:00,64.00,"1.61E+03","cfm","1.03E+05","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016196,"Byron","Unit 1","H-3","5.19E-07","uCi/cc","NA","","",5/21/2016 5:26:00,5/21/2016 6:16:00,50.00,"1.61E+03","cfm","8.03E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016199,"Byron","Unit 1","H-3","4.14E-07","uCi/cc","NA","","",5/23/2016 2:09:00,5/23/2016 3:26:00,77.00,"1.64E+03","cfm","1.26E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016200,"Byron","Unit 2","H-3","3.59E-08","uCi/cc","NA","","",5/23/2016 13:50:00,5/23/2016 15:01:00,71.00,"1.43E+03","cfm","1.02E+05","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
